id,x,y,color,sourceRadius,targetRadius,sourceX,sourceY,targetX,targetY
4822350,276.0312826567458,674.9405840499065,#9ccadd,1,1,276.0312826567458,674.9405840499065,841.9591655028773,669.4012124449067
4822380,318.8379697200628,652.1049697678469,#9ccadd,1,1,318.8379697200628,652.1049697678469,951.1265620707521,663.8401597168287
4822410,349.4114967043499,591.0003101884178,#9ccadd,1,1,349.4114967043499,591.0003101884178,949.5847059953551,632.5024868928464
4822470,391.3254570968604,373.933156649621,#d5ece6,3,3,391.3254570968604,373.933156649621,983.2734877717653,347.3089744070311
4822500,359.8022003766176,361.3987205809031,#d5ece6,1,1,359.8022003766176,361.3987205809031,816.9781097697102,569.4090997977436
4822530,331.96438479755403,522.7335922337181,#9ccadd,3,3,331.96438479755403,522.7335922337181,952.4237896333216,395.9237094034735
4822560,276.59628654632616,340.092034807773,#d5ece6,1,1,276.59628654632616,340.092034807773,852.6841079182042,629.0376756199952
4822590,375.66309830734406,550.541530724114,#9ccadd,1,1,375.66309830734406,550.541530724114,968.4095648552349,608.0328023407008
4822620,324.1937688817272,555.1142516194078,#9ccadd,1,1,324.1937688817272,555.1142516194078,910.0936689984301,933.1435322904214
4822650,340.08442415028037,597.9916923992374,#9ccadd,1,1,340.08442415028037,597.9916923992374,918.9309440709585,340.7079411274739
4822680,233.10415313761683,303.7878055828668,#d5ece6,1,1,233.10415313761683,303.7878055828668,846.4456000135218,737.0193370945219
4822710,293.50358019243356,582.3743477537598,#9ccadd,1,1,293.50358019243356,582.3743477537598,879.0142213184314,880.7327950224006
4822740,357.81954774349566,837.5105605001089,#b394c9,1,1,357.81954774349566,837.5105605001089,820.3696653698537,968.8860069105959
4822770,292.0969509889865,633.9686738505477,#9ccadd,1,1,292.0969509889865,633.9686738505477,932.3415924045664,617.435995001509
4822800,242.39416863355805,300.8998012556248,#d5ece6,1,1,242.39416863355805,300.8998012556248,899.3240372073976,562.999676821189
4822830,389.12550991988803,923.5533882506462,#b394c9,1,1,389.12550991988803,923.5533882506462,1001.9826155281761,942.9746192477992
4822850,228.96136324191258,399.4602983763625,#d5ece6,1,1,228.96136324191258,399.4602983763625,881.9074270552276,591.2455426480059
4822890,290.9844858828877,672.3299980156238,#9ccadd,1,1,290.9844858828877,672.3299980156238,882.6922716900746,898.8648398067972
4822920,218.34160418900862,897.7788712448821,#b394c9,1,1,218.34160418900862,897.7788712448821,879.7211316937841,898.44971976788
4822970,329.7374457367912,966.8574671421545,#b394c9,2,2,329.7374457367912,966.8574671421545,801.9710215927441,893.7921718869949
4822980,236.25441652787293,266.0334026132325,#d5ece6,1,1,236.25441652787293,266.0334026132325,866.9588932436043,514.2836446613373
4823010,339.93474230171563,901.9867301860484,#b394c9,2,2,339.93474230171563,901.9867301860484,930.0956466708024,683.3271425239469
4823040,342.1803969941539,837.0492361875577,#b394c9,1,1,342.1803969941539,837.0492361875577,937.7339498735727,1026.3358141057372
4823070,247.23177383766148,612.119306562302,#9ccadd,1,1,247.23177383766148,612.119306562302,927.2788900135678,942.9615752633565
4823100,384.3998870459452,190.9498791546539,#d5ece6,1,2,384.3998870459452,190.9498791546539,955.9912340515588,231.61955056966661
4823140,441.43046219442067,295.54031611375086,#d5ece6,1,1,441.43046219442067,295.54031611375086,994.9649703409686,565.9712101174458
4823160,173.75072077839013,304.55204188315213,#d5ece6,1,1,173.75072077839013,304.55204188315213,803.7645318260874,591.8593393439537
4823190,350.37492651549064,637.5985257270729,#9ccadd,1,1,350.37492651549064,637.5985257270729,909.3048298507812,628.6026212306751
