id,diverse_1994,diverse_2016,total_1994,total_2016
0606030,1,-1,372,542
0606060,1,1,584,463
0606090,1,1,577,466
0606100,0,1,163,152
0606270,-1,1,3387,4357
0606330,1,1,526,614
0606360,1,1,4966,4822
0606390,1,1,11373,17898
0606420,1,1,132,209
0606450,1,1,13402,14964
0606480,1,1,2294,3408
0606510,1,1,104,96
0606540,0,0,117,112
0606570,1,1,2033,2716
0606580,1,1,435,308
0606690,-1,0,102,211
0606720,1,-1,406,374
0606750,0,1,882,1600
0606780,1,1,3609,3237
0606810,1,1,18360,16133
0606870,0,1,3758,2833
0606900,-1,-1,7086,9065
0606960,0,0,119,51
0606990,1,0,1462,1150
0607020,1,0,818,843
0607140,1,1,2646,967
0607170,-1,1,558,413
0607200,1,1,7279,654
0607230,1,1,6268,7523
0607260,-1,0,113,63
0607350,0,1,63,72
0607410,0,1,159,192
0607440,0,1,33326,47697
0607470,1,1,943,704
0607500,1,1,7182,11025
0607530,0,1,2387,2487
0607560,1,1,2877,2163
0607680,0,1,1940,1059
0607740,1,1,1740,2233
0607770,1,1,40,50
0607800,1,1,6889,9197
0607840,0,1,320,211
0607900,1,1,5155,4339
0607920,1,1,5960,6150
0607950,1,1,4781,4535
0607970,1,1,7235,15394
0607980,1,1,2014,1777
0608010,0,-1,3138,3967
0608070,1,1,4785,4416
0608130,1,0,8773,13137
0608160,1,1,15560,23241
0608190,1,1,6183,4754
0608250,1,1,791,600
0608340,0,0,177,127
0608370,0,1,13640,10716
0608460,1,1,27450,27344
0608520,1,1,1562,2203
0608550,1,1,819,1051
0608580,-1,-1,248,338
0608610,1,1,18799,23482
0608640,0,1,36,23
0608700,-1,0,315,12
0608760,1,1,6331,6902
0608850,1,1,182,244
0608880,-1,0,160,144
0608970,1,1,1534,1398
0609030,1,1,28604,41986
0609070,-1,-1,10412,18373
0609120,1,0,3846,4362
0609240,-1,1,26,7
0609270,-1,0,192,169
0609300,0,0,511,312
0609330,1,1,672,198
0609390,1,0,18430,22356
0609450,0,1,855,791
0609480,-1,0,544,521
0609510,1,0,159,207
0609570,1,1,1603,1399
0609620,1,0,27648,21681
0609640,0,1,17816,18165
0609665,-1,0,161,119
0609690,0,0,3295,3278
0609780,1,1,1945,2104
0609810,0,1,820,905
0609850,1,1,26877,51495
0609870,0,1,2620,3058
0609940,0,1,7973,5430
0609990,0,1,1177,866
0610050,1,0,12841,11750
0610230,-1,0,149,133
0610260,1,1,5415,6768
0610290,1,1,14103,18590
0610320,-1,0,895,458
0610350,0,-1,3639,4023
0610380,0,1,563,622
0610440,1,1,4440,3961
0610620,1,1,7111,7803
0610680,0,1,39,21
0610710,0,1,181,156
0610740,0,1,1343,4412
0610770,1,1,5168,3609
0610860,1,0,2495,4031
0610890,0,0,5171,5550
0610980,0,1,33,57
0611040,0,1,1245,539
0611100,1,1,89,19
